City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
210,Bonthe,SL,82.26,broken clouds,7.5264,-12.505,Bonthe Holiday Village
215,Mwanza,TZ,77.05,few clouds,-2.5167,32.9,Gold Crest Hotel
221,Mackay,AU,78.78,scattered clouds,-21.15,149.2,International Lodge Motel
222,La Huacana,MX,85.33,broken clouds,18.9667,-101.8167,Hotel Yunuen
223,Culebra,PR,86.67,clear sky,18.303,-65.301,Palmetto Guesthouse
225,Sorong,ID,81.01,broken clouds,-0.8833,131.25,Waigo Splash Hotel
227,Faanui,PF,80.94,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
230,Mecca,SA,77.67,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
232,Tecpan,GT,73.45,clear sky,14.7623,-90.9947,San Ricardo Restaurante y Hotel
241,Jiwani,PK,75.56,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
242,Pemangkat,ID,78.91,light rain,1.1667,108.9667,Ramah Kost KITA
245,Itarema,BR,87.01,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
248,Grand Gaube,MU,79.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
250,Cabo San Lucas,MX,81.05,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
254,Okitipupa,NG,80.58,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
258,Ignacio De La Llave,MX,83.19,clear sky,18.7167,-95.9833,Hotel Valeria
262,Satuba,BR,88.61,broken clouds,-9.5633,-35.8244,Casa do Byetola
263,Zarate,AR,81.82,clear sky,-34.0981,-59.0286,Departamento céntrico 2 ambientes 45 mt2 en Zárate
265,Rawson,AR,77.49,clear sky,-43.3002,-65.1023,Hosteria Sampedro
267,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
269,Sambava,MG,76.44,moderate rain,-14.2667,50.1667,Melrose
272,Tulum,MX,84.92,few clouds,20.2167,-87.4667,Kin Ha Tulum
273,Axim,GH,80.89,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
276,Minab,IR,72.9,scattered clouds,27.1467,57.0801,Bam campground
277,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
281,Alofi,NU,75.09,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
287,Bumba,CD,77.34,light rain,2.1833,22.4667,Père Carlos
291,Auki,SB,77.59,overcast clouds,-8.7676,160.7034,Auki Motel
293,Zemio,CF,82.67,overcast clouds,5.0314,25.1361,OCHA Office
303,Lukaya,UG,75.25,scattered clouds,-0.1489,31.8748,lemba salongo
305,Pedra Azul,BR,75.33,broken clouds,-16.0053,-41.2972,Pousada Pedra Azul
310,Port Blair,IN,77.56,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
317,Lazaro Cardenas,MX,84.97,overcast clouds,17.9583,-102.2,quinta antigua
319,Kapit,MY,72.66,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
321,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
323,Ocos,GT,91.9,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
324,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
328,Ritchie,ZA,74.41,clear sky,-29.038,24.6028,Riverside Country Club Modderrivier
330,Harper,LR,80.44,light rain,4.375,-7.7169,Screensaver
333,Namibe,AO,73.33,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
334,Port-Gentil,GA,77.2,light rain,-0.7193,8.7815,Fengshui Residence
335,Lorengau,PG,78.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
336,Coihaique,CL,81.14,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
345,Ocean Springs,US,79.5,overcast clouds,30.4113,-88.8278,Golden Nugget Biloxi Hotel & Casino
347,Mabaruma,GY,79.92,broken clouds,8.2,-59.7833,Monty Brooms Guest House
