City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Baytown,US,2021-12-06 17:40:29,29.7355,-94.9774,79.07,86,91,1.99,overcast clouds
60,Mar Del Plata,AR,2021-12-06 17:38:34,-38.0023,-57.5575,69.82,80,0,18.01,clear sky
61,San Cristobal,VE,2021-12-06 17:40:30,7.7669,-72.225,78.98,41,89,6.69,overcast clouds
62,Sisimiut,GL,2021-12-06 17:40:30,66.9395,-53.6735,22.46,78,100,18.25,light snow
63,Salalah,OM,2021-12-06 17:40:30,17.0151,54.0924,77.09,50,0,5.75,clear sky
64,San Policarpo,PH,2021-12-06 17:40:31,12.1791,125.5072,79.81,74,100,14.81,overcast clouds
65,Kodiak,US,2021-12-06 17:40:01,57.79,-152.4072,36.91,81,90,20.71,light snow
66,Baykit,RU,2021-12-06 17:40:31,61.67,96.37,-2.74,100,98,2.01,overcast clouds
67,Korgen,NO,2021-12-06 17:40:32,66.0771,13.8153,17.31,88,2,9.13,clear sky
68,Puerto Ayora,EC,2021-12-06 17:40:32,-0.7393,-90.3518,76.96,74,85,8.03,overcast clouds
69,Bethel,US,2021-12-06 17:40:33,41.3712,-73.414,55.69,88,90,7.0,overcast clouds
70,Geraldton,AU,2021-12-06 17:40:33,-28.7667,114.6,70.21,88,11,12.66,few clouds
71,Hare Bay,CA,2021-12-06 17:40:33,48.8499,-54.0148,31.35,51,84,7.74,broken clouds
72,Pelym,RU,2021-12-06 17:40:34,61.0108,61.9978,-12.39,98,7,3.94,clear sky
73,Bandarbeyla,SO,2021-12-06 17:40:34,9.4942,50.8122,77.16,63,4,16.67,clear sky
74,Bluff,NZ,2021-12-06 17:33:31,-46.6,168.3333,46.8,75,6,12.12,clear sky
75,Jamestown,US,2021-12-06 17:28:30,42.097,-79.2353,54.72,93,90,5.99,moderate rain
76,Dom Pedrito,BR,2021-12-06 17:40:34,-30.9828,-54.6731,85.86,30,1,11.25,clear sky
77,Zastron,ZA,2021-12-06 17:40:35,-30.3023,27.084,59.76,44,4,4.32,clear sky
78,Poum,NC,2021-12-06 17:34:01,-20.2333,164.0167,80.49,73,9,7.07,clear sky
79,Dunedin,NZ,2021-12-06 17:31:00,-45.8742,170.5036,50.11,83,94,10.71,overcast clouds
80,Oderzo,IT,2021-12-06 17:40:35,45.7882,12.5019,43.05,67,3,2.21,clear sky
81,Marang,MY,2021-12-06 17:34:04,5.2056,103.2059,80.51,82,88,5.44,overcast clouds
82,Banita,RO,2021-12-06 17:40:36,45.45,23.2667,36.54,99,100,3.11,overcast clouds
83,Saskylakh,RU,2021-12-06 17:33:47,71.9167,114.0833,-30.33,97,61,7.67,broken clouds
84,Roma,US,2021-12-06 17:39:49,43.2128,-75.4557,55.96,82,90,13.8,overcast clouds
85,Alenquer,BR,2021-12-06 17:40:36,-1.9417,-54.7383,86.34,59,99,2.1,overcast clouds
86,Kapaa,US,2021-12-06 17:40:36,22.0752,-159.319,75.18,87,75,5.75,moderate rain
87,Northam,GB,2021-12-06 17:40:37,51.0333,-4.2167,47.25,76,39,27.31,light rain
88,Carnarvon,AU,2021-12-06 17:40:37,-24.8667,113.6333,71.67,83,90,19.57,overcast clouds
89,Gotsu,JP,2021-12-06 17:40:38,35.0,132.2167,48.74,76,39,3.74,scattered clouds
90,Chokurdakh,RU,2021-12-06 17:33:28,70.6333,147.9167,-28.03,96,97,2.75,overcast clouds
91,Itaituba,BR,2021-12-06 17:35:53,-4.2761,-55.9836,91.56,62,40,6.91,scattered clouds
92,Abonnema,NG,2021-12-06 17:40:38,4.7084,6.7931,82.08,76,88,8.79,overcast clouds
93,Luangwa,ZM,2021-12-06 17:40:39,-15.6167,30.4167,87.82,29,28,2.93,scattered clouds
94,Torbay,CA,2021-12-06 17:40:39,47.6666,-52.7314,34.57,65,75,11.5,broken clouds
95,Kumbo,CM,2021-12-06 17:40:40,6.2,10.6667,67.78,47,100,4.76,overcast clouds
96,Cape Canaveral,US,2021-12-06 17:40:28,28.4058,-80.6048,82.99,71,37,6.17,scattered clouds
97,Itapaci,BR,2021-12-06 17:40:40,-14.9508,-49.5494,83.37,64,26,3.33,light rain
98,Portland,US,2021-12-06 17:32:31,45.5234,-122.6762,44.42,95,90,1.01,light rain
99,Srednekolymsk,RU,2021-12-06 17:40:40,67.45,153.6833,-44.81,100,76,1.48,broken clouds
100,Guerrero Negro,MX,2021-12-06 17:40:41,27.9769,-114.0611,68.47,60,0,2.64,clear sky
101,Katobu,ID,2021-12-06 17:40:41,-4.9408,122.5276,77.56,85,100,11.43,moderate rain
102,Carroll,US,2021-12-06 17:40:41,39.5501,-77.0164,63.01,74,40,4.0,scattered clouds
103,Muros,ES,2021-12-06 17:40:42,42.7762,-9.0603,57.99,95,100,7.25,overcast clouds
104,Ribeira Grande,PT,2021-12-06 17:33:55,38.5167,-28.7,64.8,63,75,12.66,broken clouds
105,Tuktoyaktuk,CA,2021-12-06 17:40:42,69.4541,-133.0374,3.2,72,20,14.97,few clouds
106,Atambua,ID,2021-12-06 17:40:42,-9.1061,124.8925,75.78,88,99,1.16,overcast clouds
107,Romanovka,RU,2021-12-06 17:33:41,51.7443,42.7527,28.98,73,100,11.41,overcast clouds
108,Antalaha,MG,2021-12-06 17:40:43,-14.9003,50.2788,74.57,88,3,8.37,moderate rain
109,Leua,SK,2021-12-06 17:35:59,48.2156,18.6071,35.49,88,52,6.55,broken clouds
110,Barrow,US,2021-12-06 17:40:16,71.2906,-156.7887,23.02,80,1,23.02,clear sky
111,Malindi,KE,2021-12-06 17:40:43,-3.2175,40.1191,82.56,78,20,4.61,few clouds
112,Dikson,RU,2021-12-06 17:40:44,73.5069,80.5464,-13.23,98,90,7.52,overcast clouds
113,Aksarka,RU,2021-12-06 17:40:44,66.5606,67.7975,10.26,91,100,11.81,overcast clouds
114,Nome,US,2021-12-06 17:40:44,64.5011,-165.4064,26.67,86,90,16.11,light snow
115,Tasiilaq,GL,2021-12-06 17:40:45,65.6145,-37.6368,30.36,90,95,11.27,overcast clouds
116,Lebu,CL,2021-12-06 17:33:40,-37.6167,-73.65,65.39,67,0,14.16,clear sky
117,Mount Hagen,PG,2021-12-06 17:40:45,-5.8581,144.2274,58.32,98,100,1.68,overcast clouds
118,Pochutla,MX,2021-12-06 17:40:46,15.7432,-96.4661,90.82,40,0,7.09,clear sky
119,San Fernando,PH,2021-12-06 17:40:46,15.0286,120.6898,77.14,83,85,4.68,overcast clouds
120,Chuy,UY,2021-12-06 17:33:36,-33.6971,-53.4616,72.95,58,14,11.59,few clouds
121,Rayong,TH,2021-12-06 17:40:46,12.8333,101.4333,72.3,82,98,5.95,overcast clouds
122,Bolgar,RU,2021-12-06 17:40:47,54.95,49.0667,22.91,77,64,6.29,broken clouds
123,Kropotkin,RU,2021-12-06 17:40:47,45.4375,40.5756,47.57,80,78,7.38,broken clouds
124,Bairiki,KI,2021-12-06 17:40:47,1.3292,172.9752,82.4,78,40,12.66,scattered clouds
125,Alice Springs,AU,2021-12-06 17:35:00,-23.7,133.8833,69.35,83,75,17.27,light intensity shower rain
126,Lata,PT,2021-12-06 17:35:04,40.1629,-8.3327,56.91,85,63,0.74,broken clouds
127,Dhandhuka,IN,2021-12-06 17:40:48,22.3667,71.9833,74.66,48,0,7.23,clear sky
128,Pisco,PE,2021-12-06 17:40:48,-13.7,-76.2167,73.45,68,0,14.97,clear sky
129,Avarua,CK,2021-12-06 17:40:49,-21.2078,-159.775,78.85,89,75,8.05,light rain
130,Port Hueneme,US,2021-12-06 17:35:40,34.1478,-119.1951,79.43,76,20,3.44,mist
131,Victoria,HK,2021-12-06 17:38:58,22.2855,114.1577,67.24,75,0,7.0,clear sky
132,Port Lincoln,AU,2021-12-06 17:40:49,-34.7333,135.8667,57.06,72,63,14.67,broken clouds
133,Ilulissat,GL,2021-12-06 17:40:50,69.2167,-51.1,21.22,45,40,18.41,scattered clouds
134,Ciudad Bolivar,VE,2021-12-06 17:40:50,8.1222,-63.5497,88.18,50,75,9.62,broken clouds
135,La Rioja,ES,2021-12-06 17:40:28,42.25,-2.5,44.38,84,99,12.17,overcast clouds
136,Kenora,CA,2021-12-06 17:40:50,49.8167,-94.4337,-5.82,70,40,8.05,scattered clouds
137,Sao Joao Da Barra,BR,2021-12-06 17:34:44,-21.6403,-41.0511,82.49,80,97,9.48,overcast clouds
138,Gat,IL,2021-12-06 17:40:51,31.61,34.7642,66.4,53,100,2.39,overcast clouds
139,Aykino,RU,2021-12-06 17:40:51,62.2248,49.9922,-1.7,98,23,5.23,few clouds
140,Veraval,IN,2021-12-06 17:40:52,20.9,70.3667,74.77,66,0,5.68,clear sky
141,Talnakh,RU,2021-12-06 17:40:52,69.4865,88.3972,-7.8,99,100,12.46,light snow
142,Nanortalik,GL,2021-12-06 17:34:13,60.1432,-45.2371,25.27,70,72,37.49,light snow
143,Cidreira,BR,2021-12-06 17:40:53,-30.1811,-50.2056,72.39,71,4,15.1,clear sky
